"User","Location","Date of Review","Review Title","Review"
"Pilipinong T","Davao del Sur Province, Philippines","January 25, 2016","amazing old Davao inside tghe museum, and amazing new dava when you step out. Better visit the museum.","An hour to the museum introduced us to the history of Davao. There were also food and restaurants near the museum. Because of the road repair, expect a big big traffic. But over all, the experience was nice"
"AlbertodelaPaz","Chiang Rai, Thailand","December 4, 2015","A Must visit. Portal to the Past. Beautifully presented.","This is a privately owned museum devoted to sharing information and educating visitors about the history of Davao. Any of the items displayed at the museum come from private collections of prominent persons from Davao City. Most of the permanent display is located on the...More"
"ingmar b","Davao City, Philippines","November 8, 2015","For history buffs only","i love history and that is why i like this museum. there is lot to learn(like a dutchman was the first to write davao in a journal). the collection of daily stuff is nice to see. the guides know a lot. but it is not...More"
"JPHickman","Dudley, United Kingdom","September 11, 2015","Interesting museum","Interesting little museum, showing traditional tribal wear and day to day life of the tribal people, well kept but strangely in a sub division."
"Brisflip","Brisbane","September 2, 2015","If you want to understand Davao history, then this is a must","Great place to understand the history of Davao, some great reading and pictorials. Individual guided tours a bonus."
"Medy1950","Davao City, Philippines","July 29, 2015","Davao Museum, a must visit destination in Davao City.","You cannot know a place without dropping by their museum! It is a short cut to discovering the culture and heart of Davao! I have experienced three changing exhibits on the first floor of the Davao Museum Lanang (permanent exhibits are in the second floor...More"
"markbenjamin","Baguio, Philippines","July 28, 2015","Everything About Davao City","Location: Easy to locate. Waling distance from D' Bone Collector and Osmenia Park. Facade: Clean and really simple. Staff: Upon entering they greeted me with a smile. They are also knowledgeable about their culture coz every time I ask the tour guide (sorry I forgot...More"
"davao_dude","Davao City","July 17, 2015","Showing you Davao's history","Very nice collection of pieces of Davao City's past. I just hope that they bring in an authentic Davao museum guide. When we were there, the guide was obviously just memorizing her spiel as she was an intern from a university and was not really...More"
"aziannegirl","San Francisco, California","May 8, 2015","Informative Enough","The museum is tucked away within a subdivision. There is an entrance fee of P80. No tour guides available. It was interesting to read the history of Davao. I would recommend visiting this museum to read about the facts, then supplement it with a guided...More"
"Sydney, Australia","Sydney, Australia","April 23, 2015","Short and sweet","It's interesting free and guided by a young and passionate guide, but was a little rushed, probably the shortest museum visit I have ever done."
"mummyharris","Canvey Island, United Kingdom","April 18, 2015","Umm not sure","Visited this Wetherspoons with my husband and have to say the food was fantastic but Bar service was appalling. My husband went to the bar and waited his turn but the young barman served at least 8 customers before him he was so disgusted he let rip at the poor barmaid who served him. So food 10/10 bar service 2/10 :("
"StR1F3","Pagadian City, Philippines","April 12, 2015","Educational?","Well, I get to know the TRUTH behind...^_^ just kiddin. No facts to unravell, no mysteries to solve...But you get to know the culture and heritage of the City, how it came to be...andit always is associated with how the present Head of the City made it 4th to the world's most peaceful city. ^_^"
"Magiting","Sydney, Australia","March 26, 2015","Nice Local Museum","We did have a good time during the tour, tour guide explain the different ethnics Iiving in Davao the local politics among the tribes are been discussed and explained."
"Robert M","Glendale, United States","March 19, 2015","Culturially enlightening","Very enlightening from original tribal origins to current day Davao. The trials endured during WW2, artifacts were all interesting and educational."
"adangoyjr","Dubai, United Arab Emirates","February 12, 2015","A Museum within a Subdivision","A simple museum. No guide. So, just enjoy and learn on your own. I wish the museum is located somewhere probably in the city center."
"Steven H","Worthing, United Kingdom","February 2, 2015","great!","friendly staff. quality service and food. I would always go here if I wanted great tasting food and drink. best place in Worthing"
"Dean M","Mission Viejo, California","January 16, 2015","Small, mildly interesting","It's a small place that's off the main road in a housing development called Insular Village 1. We took a taxi and the staff called a taxi for us when we were done. It's a small two story museum. We initially had a guide but between her English skills and limited information we wound up just walking by ourselves. Does a nice job of outlining the history of Davao City and the surrounding area. Mainly pictures and histograms, not a ton of artifacts to be seen. You can view the entire museum in 90 minutes easy. "
"MijnlieverdFH","Amsterdam","January 12, 2015","Visual information about the culture and its people","Entrance is free. Well organized inside. The tour guide was smart and articulately deliver the best information about the different sections of the museum. Best place to be informed about Davao and its cultural background."
"AsanSiDiwaAtShiela"," ","January 10, 2015","Well-maintained place","This museum is a private owned museum. It's a bit pricey and a bit boring too but you will see where your money is going. You can't take pictures in some areas. It's a go-around-and-understand-it-by-yourself museum."
"Quezon City, Quezon City, Philippines","Quezon City, Quezon City, Philippines","December 21, 2014","Awesome Tour","The artifacts were well preserved, tour guide was hilarious and we learned so much from her. This is a must visit for tourists..., entrance is free =)"
"AppleVManila","Manila","November 14, 2014","First time to enter a free museum with substance","Commendation to the city government.When I first made our ite, this is not part because I thought it's just a boring museum but our van service brought us here. What I noticed, 1: Museum if FREE! 2: They have tour guide for guest 3: It is air conditioned. Talk about using public fund to educate tourist! This is really a good way to get to know about davao."
"darlynn1925","Jackson, Tennessee","October 24, 2014","Worth a visit","Worth a visit while in Davao, and its free. Will help a non-Davaoeno know the province and their history. Proud that the city is funding this museum to promote tourism."
"AkoBato","Worthing, United Kingdom","October 19, 2014","Great pub :)","great night atmosphere Music starts about 9/10. Good selection of food and drinks Have been here loads and love it :) Would deff recommend"
"christa d","Manila, Philippines","September 22, 2014","Small But Terrible","Small museum located in downtown Davao, near the Catholic Cathedral and the Osmena Park, with many things in it. Cool place. Helpful staff. Very educational. Worth an hour or so if you're within the CM Recto rotunda, before strolling down the park and / or attending service at the nearby church."
"251Michigan","Tasmania, Australia","September 2, 2014","Good collection of artifacts","Nice museum.Its not a typical museum.built up area is small but has decent collections of artifacts.I found the staff to be very nice.As there are many places to see around Davao city you can include this also in your itinerary."
"itoy_MNL","Singapore, Singapore","August 20, 2014","staff were great, small but full of interesting bits","was worth going to staff offers guided walks but doesnt ask for donation or money, just leave you in peace when they are done explaining no taking of pictures on some halls very informative and well kept its fully pack for such a small space its in a corner near a rotatanda besides osmena park"
"daveblinx","Vienna, Austria","July 27, 2014","Small but beautiful","The small museum of Davao and Mindanaos history is not far away from the really good SM supermarket in Lanang. Combining shopping and culture makes a worthwhile afternoon. Groundfloor you get an overview and with the big mapsite the knowledge where in Mindanoa historic things happened. And history starte earlier than the Spain discovered the island!  First floor you see arts, craft, cloth, music instruments more rhytmic ones and I was allowed to play one to find out the tone changes depending where you touch it. Learned a lot."
"Blackburn, United Kingdom","Lansing, Michigan","June 21, 2014","Great","Everyone is great. I learned a lot. I will go back again. They had things to see from all time periods."
"cristydti","makati","April 30, 2014","Beautiful museum","nice to know the different cultures of Davao and what Mayor Duterte did to the city to get so many citations and awards....."
"Darrel H","Auckland, New Zealand","April 11, 2014","Great little museum","Great place to come and cool off and get to know a bit of local history. I like places like this as they are not to full of information just enough to give you a sense of the place. Guides are friendly and knowledgeable."
"BlueBrrr","manila","March 24, 2014","its worth the trip","a great learning experience. its worth the trip.the staff are freindly and the exhibits are very well maintained and taken cared of."
"Shamrockbuddy","Davao City, Philippines","March 20, 2014","a detailed history","It features the rich history of Davao City, from its beginnings up to what it is right now. That includes the intelligent and professional people behind the progress of Davao City. it also showcase the different ethnic groups around the region."
"BGonzalez1973","Manila, Manila, Philippines","February 28, 2014","discover DAWOW","interesting facts from old davao until the present. It's like Davao government's gift to its visitors. Spend like half an hour in this FREE museum and you'll just be amused. great!"
"Laurie269","Manila, Philippines","February 3, 2014","Nice to Visit, Knowledgeable Guides","It was enriching to visit the Davao Museum. It is a small museum, but worth the visit to get an idea on the culture and history of the city. Volunteers will accompany you through the different halls, where there are exhibits of the different indigenous...More"
"RodgerOndat","Bordentown, New Jersey","December 26, 2013","Hmmm ... good but not enough information given","I enjoyed my visit but honestly, I felt a little uncertain as to what I was looking at. They need to have guided tours or someone on the upper floors to answer questions. But overall worth the visit."
"Chiang Rai, Thailand","Jewett City, Connecticut","December 14, 2013","Good History","There is no charge to go in this museum. It is a small museum but don't let that fool you. It is very rich in history. There was a person to take us around the museum and he was very knowledgable about the different aspects...More"
"Dreamgirl_1253","Quezon City, Philippines","July 23, 2013","Learn about the various tribes of Davao","Visiting the museum is free of charge, and your party will be accompanied by an able guide who will talk about the various tribes of Davao City and give you an insight into the political structure of the city. It is quite interesting to learn about the tribes, their striking characteristics, their style of clothing and the design of their houses."
"jheviray","Manila, Philippines","June 28, 2013","Good museum staff","They have good staff to explain the littlest details of the museum. Worth the 1-hr visit! Especially for history lovers!"
"sophiegrayy","Manila, Philippines","May 3, 2013","Diverse Davao","A good way to have a general perspective of Davao.   Davao Museum is a must-see if you wish to learn about the diverse, vibrant cultural influences and ethnic groups in Davao. The museum presents the original settlers of what is now the Province of Davao and Metro Davao - their way of life, homes, tools, fabric, clothing, musical instruments, cultural practices.  Small, tightly-focused collection. Devote no more than 30 minutes to this visit, unless you are in the mood to converse with the staff, who share their insights on Davao's history and origins, and museum trivia - such as: volunteer curators from Alberta, Canada helped in the display design."
"Huminca S","Davao City, Philippines","March 17, 2013","If interested in Davao historie and the people","This is the best place to learn a bit about Phillippines if you visit Davao from an outside country."
"ccduckie","Luzon, Philippines","November 8, 2012","An Educational Trip","If you would want a dose of history about Davao you will definitely appreciate what this museum has to offer. Although small and compact, you would be able to grasp a little bit of a history about Davao (I did not realize that Davao have a lot of Japanese inhabitants doing trade way way way back!). The museum was small as mentioned so we were able to finish it within 2 hours. Recommended for adults and kids alike."
"Clandestinymph","Manila","October 15, 2012","Small and Clean Museum","A small and clean museum that will take u less than an hour to see everything. A good way to spend a morning, jus don't expect too much. Entrance fee is 100 for adults and 20 for children."
"Mercedita M","Jakarta, Indonesia","October 10, 2012","The first place in Davao you should visit before exploring more of the area","I went to Mindanou last August 2012 using AirAsia. Flying from KL to Clark, and from here I continue to Davao. The first time I arrived I was a bit worried because some people said that there is political unrest in Mindanao. In this case the Islamist rebels want to have their own independence. It is said some tourists are kidnapped to highlight their causes. However when I arrived in Davao, Mindanao for the first time, all those fears are gone. Davao and other Mindanao cities are safe to travel. Only in a few area we may need to be careful.  So, to make it short, I went to explore more about Davao which used to be dubbed as Little Tokyo. The best place to dig more information about Davao definetly is the Davao Museum. Free guide is provided which is good. However u cant take pic inside the museum. Well, mabuhay:)"
"Manila","Victoria, Canada","September 17, 2012","Not really a Must-See, but well worth a visit.","It wouldn't be on my top 10 list of things to do in a day, but we really enjoyed this quiet little museum. It had very interesting ethnographic things, including head dresses, photographs, and tribal instruments that looked almost Balinese."
"Chapopos","Manila, Philippines","May 21, 2012","No picture taking","I was so disappointed that they don't allow tourists taking pictures inside the museum. You have no choice but listen to the museum's staff going through some stories about the history of Davao. Expect that the only souvenirs you will get are pictures outside the museum. :("
"raobert","Namur, Belgium","December 30, 2011","Worth a visit","This Museum, although fairly small, is a mine of information regarding history of Mindanao. This info is usually rather difficult to come by. I appreciated also the BW photos from past times showing how the Davao was. There are interesting comments about middle age contacts between Phils and China. Beautiful specimens of Davao clothing are on display, as well as musical instruments"
